key,b,se,n,r2,stata_key,stata_block,stata_var,stata_log
T5_Ball_c2,-0.17786674270476313,0.13704711607942452,1444.0,0.36464565201994836,"('d_sh_empl_nmfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Ball_c3,0.22094234808940844,0.057582819466075304,1444.0,0.40356679231441317,"('d_sh_unempl', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Ball_c4,0.5532842544691708,0.15032933108406019,1444.0,0.3860384576742797,"('d_sh_nilf', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Ball_c5,0.07641810794931028,0.02755576303731554,1444.0,0.6035360788555066,"('d_sh_ssadiswkrs', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Bcol_c1,-0.5916840262420808,0.12468125221360614,1444.0,0.1890612507684324,"('d_sh_empl_mfg_edu_c', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Bcol_c2,0.16812337852682738,0.12157897021006363,1444.0,0.18684545535557417,"('d_sh_empl_nmfg_edu_c', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Bcol_c3,0.11913492132417396,0.038707358447474624,1444.0,0.27520529640214497,"('d_sh_unempl_edu_c', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Bcol_c4,0.3044256192031157,0.11290344528591179,1444.0,0.18740864758827336,"('d_sh_nilf_edu_c', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Bnc_c1,-0.5811160159112225,0.09486455503556476,1444.0,0.3613527449784838,"('d_sh_empl_mfg_edu_nc', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Bnc_c2,-0.5313834324391558,0.20345219668092696,1444.0,0.4403116417088182,"('d_sh_empl_nmfg_edu_nc', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
