table,col,term,coef,se,N,r2,se_type,formula,note
III,11,s_tsi,0.019215051545841286,0.009277660494312124,497,0.14672492583834829,"cluster bootstrap(cluster, 500)",kinship_score ~ s_distance_mutation + s_tsi + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.0071
III,11,small_scale,-0.3659953032716771,0.14580096115267746,497,0.14672492583834829,"cluster bootstrap(cluster, 500)",kinship_score ~ s_distance_mutation + s_tsi + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.1273
IV,1,kinship_score,1.2667125384600229,0.47663946711325916,61,0.09081385225696104,"cluster bootstrap(cluster, 500)",s_diff_violence ~ kinship_score + small_scale,analytic CRV1 SE = 0.4361
IV,2,kinship_score,1.1260991447234696,0.4808494923474872,61,0.17604280420979224,"cluster bootstrap(cluster, 500)",s_diff_violence ~ kinship_score + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.4423
IV,3,kinship_score,-0.7746122526884529,0.19086147057294048,776,0.17199939499700567,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale,
IV,4,kinship_score,-0.5035912106867861,0.13103982569859352,770,0.45395865827314086,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale + s_have_god + ln_time_obs_ea | cont,
IV,4,s_have_god,0.29639444237454904,0.045961700312478274,770,0.45395865827314086,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale + s_have_god + ln_time_obs_ea | cont,
IV,5,kinship_score,-0.41225700147516714,0.14840572652080977,770,0.6864526019769299,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale + s_have_god + ln_time_obs_ea | isonum,
IV,5,s_have_god,0.22501506240740757,0.04909230724955713,770,0.6864526019769299,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale + s_have_god + ln_time_obs_ea | isonum,
IV,6,kinship_score,1.160394142332575,0.3062513842610331,83,0.08709604226057044,"cluster bootstrap(cluster, 500)",s_loyalty_local ~ kinship_score + small_scale,analytic CRV1 SE = 0.2940
IV,7,kinship_score,1.1405221116612545,0.29888263947150095,83,0.08839031526778118,"cluster bootstrap(cluster, 500)",s_loyalty_local ~ kinship_score + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.2873
IV,8,kinship_score,0.8325447901299894,0.19514479751503658,371,0.07473228474551807,{'CRV1': 'cluster'},s_sex_taboo ~ kinship_score + small_scale,
IV,9,kinship_score,0.45808514552037805,0.19239131082071304,371,0.2018463269491132,{'CRV1': 'cluster'},s_sex_taboo ~ kinship_score + small_scale + ln_time_obs_ea | cont,
