estimate,se,ci_lower,ci_upper,pvalue,tstat,nobs,r_squared,controls,se_type,subset,model,y_transform,spec_id,significant,outcome,N
0.44324089438645103,0.18034857771014787,0.0885617537987185,0.7979200349741835,0.014458020085930974,2.4576899913168027,367,0.20236089045069872,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,9,True,s_sex_taboo,367
0.38271746376708726,0.20792482394090606,-0.026209744757683173,0.7916446722918578,0.06651156061066033,1.8406530615885417,367,0.2201062883469923,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,10,False,s_sex_taboo,367
0.38271746376708726,0.1832005979938233,0.0224155636968269,0.7430193638373477,0.037417851673851074,2.089062306335871,367,0.2201062883469923,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,11,True,s_sex_taboo,367
0.781078623331393,0.2120754755205536,0.36402396953874516,1.198133277124041,0.0002656385806468326,3.6830219119593277,367,0.08849295354080011,"small_scale, animalhusbandry, agriculture",cluster,Full Sample,OLS,Level,12,True,s_sex_taboo,367
0.781078623331393,0.1785701375060377,0.4299135171705519,1.132243729492234,1.5967019589528684e-05,4.374071915047854,367,0.08849295354080011,"small_scale, animalhusbandry, agriculture",hc1,Full Sample,OLS,Level,13,True,s_sex_taboo,367
0.3814562740404828,0.20671754545014936,-0.025104540843564394,0.78801708892453,0.06583577328344274,1.8453018741579064,367,0.22093767770925232,"small_scale, ln_time_obs_ea, animalhusbandry, agriculture, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,14,False,s_sex_taboo,367
0.3814562740404828,0.18406768917988062,0.019441963432085874,0.7434705846488798,0.03896062873649637,2.0723695491591885,367,0.22093767770925232,"small_scale, ln_time_obs_ea, animalhusbandry, agriculture, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,15,True,s_sex_taboo,367
1.478213061945179,0.34928309782973227,0.780646546508828,2.17577957738153,7.418693061330519e-05,4.232134538230003,67,0.23311464229995849,(none),hc1,Full Sample,OLS,Level,0,True,s_diff_trust_out_in,67
1.6163142717466887,0.3288116863202349,0.9594374152985483,2.273191128194829,6.467961421729641e-06,4.915622950738237,67,0.30000358179984543,small_scale,hc1,Full Sample,OLS,Level,1,True,s_diff_trust_out_in,67
1.601611365536518,0.3170854561141032,0.9679666431400245,2.2352560879330117,4.017637082363994e-06,5.0510401365119,67,0.32564421015559053,"small_scale, ln_time_obs_ea",hc1,Full Sample,OLS,Level,2,True,s_diff_trust_out_in,67
1.46399686834416,0.3593839790294081,0.7443428637152066,2.1836508729731134,0.00014469071949665952,4.073628636140072,67,0.5796076494281959,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,3,True,s_diff_trust_out_in,67
1.8205084171781691,0.33346047203401036,1.1539304315256769,2.4870864028306614,8.919513553303984e-07,5.459442932092088,67,0.3812755068067386,"small_scale, ln_time_obs_ea, malariaindex",hc1,Full Sample,OLS,Level,4,True,s_diff_trust_out_in,67
1.025452891761594,0.3987417325830602,0.22837952567551623,1.8225262578476715,0.012530693157597347,2.5717220144444903,67,0.3728683142752819,"small_scale, ln_time_obs_ea, lngdp",hc1,Full Sample,OLS,Level,5,True,s_diff_trust_out_in,67
0.743771899148284,0.30720246192540135,0.12948261091374158,1.3580611873828263,0.018463346485984015,2.421113081212532,67,0.49744151920470103,"small_scale, ln_time_obs_ea, cath00, muslim00",hc1,Full Sample,OLS,Level,6,True,s_diff_trust_out_in,67
0.7102831764727529,0.3554639623658802,-0.002379159371859174,1.4229455123173649,0.05074277190661878,1.9981861782704604,67,0.688907512583167,"small_scale, ln_time_obs_ea, lngdp, cath00, muslim00, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,7,False,s_diff_trust_out_in,67
1.20134594721147,0.3542437743861286,0.4953391229955416,1.9073527714273983,0.0011259391865294497,3.3912972762705302,75,0.13120267852653666,(none),hc1,Full Sample,OLS,Level,0,True,s_religion_hell,75
1.1046054124100826,0.3500672274244831,0.40675914865704,1.802451676163125,0.0023397292020195383,3.1554093781839927,75,0.1630438947803151,small_scale,hc1,Full Sample,OLS,Level,1,True,s_religion_hell,75
1.109526282066047,0.35693138633320926,0.39782531151099976,1.8212272526210942,0.0027048385738745124,3.108514197824736,75,0.16350293075910183,"small_scale, ln_time_obs_ea",hc1,Full Sample,OLS,Level,2,True,s_religion_hell,75
0.5467720782480171,0.38442820077656353,-0.22098405457779013,1.3145282110738243,0.15972052159030947,1.4222996053450583,75,0.48550929565149925,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,3,False,s_religion_hell,75
0.9642482804893231,0.3690776252662275,0.2281461675339802,1.700350393444666,0.01098949680977159,2.6125893700377527,75,0.19808013537375013,"small_scale, ln_time_obs_ea, malariaindex",hc1,Full Sample,OLS,Level,4,True,s_religion_hell,75
0.3451049822398496,0.37189323570556193,-0.3966126886679923,1.0868226531476914,0.3566129904257379,0.9279678926805721,75,0.2821526058407354,"small_scale, ln_time_obs_ea, lngdp",hc1,Full Sample,OLS,Level,5,False,s_religion_hell,75
0.028932910113978028,0.319210067783259,-0.607873751066305,0.6657395712942611,0.9280419794699123,0.09063909016059993,75,0.5910847943367927,"small_scale, ln_time_obs_ea, cath00, muslim00",hc1,Full Sample,OLS,Level,6,False,s_religion_hell,75
-0.4760973007222479,0.39909729173821756,-1.2738814194321055,0.3216868179876098,0.23743996575864287,-1.1929354334845685,75,0.722863182813148,"small_scale, ln_time_obs_ea, lngdp, cath00, muslim00, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,7,False,s_religion_hell,75
1.2031972910060855,0.36153791230964855,0.4824846348498065,1.9239099471623646,0.0013805135825649248,3.3279975627440583,74,0.14094469667687148,(none),hc1,Full Sample,OLS,Level,0,True,s_gps_punish_revenge,74
1.1970030472889515,0.3849177381766476,0.4294988760854862,1.9645072184924168,0.002694808616427603,3.1097632781465094,74,0.14104021571474923,small_scale,hc1,Full Sample,OLS,Level,1,True,s_gps_punish_revenge,74
