var,coef,se,N,year,min95,max95,panel
nh_1832,-0.036224563047530266,0.0519316255981353,182706,1832,-0.13849598217876535,0.06604685608370484,B. Non-Hunan
nh_1833,-0.03865017212392369,0.045270486472663726,182706,1833,-0.12780349330335822,0.05050314905551086,B. Non-Hunan
nh_1834,-0.006770860717392752,0.03430755953914085,182706,1834,-0.07433436870669903,0.06079264727191353,B. Non-Hunan
nh_1835,-0.020157845095004432,0.03692002267533,182706,1835,-0.09286620093547628,0.05255051074546742,B. Non-Hunan
nh_1836,-0.024517355730392237,0.03569080831478922,182706,1836,-0.09480496129353186,0.045770249832747384,B. Non-Hunan
nh_1837,-0.027601745154169344,0.0421612393862024,182706,1837,-0.11063187823194977,0.055428387923611086,B. Non-Hunan
nh_1838,-0.03491225379659333,0.039717147219454504,182706,1838,-0.11312911997772152,0.04330461238453486,B. Non-Hunan
nh_1839,-0.010186881224708273,0.04150057039176751,182706,1839,-0.09191592744339973,0.07154216499398318,B. Non-Hunan
nh_1840,-0.013424915365601775,0.04825480140858608,182706,1840,-0.1084553898233323,0.08160555909212874,B. Non-Hunan
nh_1841,-0.041046957885087165,0.04527453889550296,182706,1841,-0.13020825969347208,0.04811434392329775,B. Non-Hunan
nh_1842,-0.03591513541130503,0.04051066478538913,182706,1842,-0.11569471345902675,0.04386444263641669,B. Non-Hunan
nh_1843,-0.006318684751302047,0.034228294612840014,182706,1843,-0.07372609255297218,0.061088723050368075,B. Non-Hunan
nh_1844,-0.01443636700478443,0.04026356166869476,182706,1844,-0.09372931313746377,0.06485657912789491,B. Non-Hunan
nh_1845,-0.025006138166749715,0.051234045428349355,182706,1845,-0.12590377950651166,0.07589150317301224,B. Non-Hunan
nh_1846,-0.024645683777588506,0.05090264771163579,182706,1846,-0.12489068783910658,0.07559932028392956,B. Non-Hunan
nh_1847,-0.020518299527417842,0.03993645559613773,182706,1847,-0.09916706012071647,0.058130461065880774,B. Non-Hunan
nh_1848,-0.0236087273605693,0.03830266676122047,182706,1848,-0.09903998993058719,0.05182253520944858,B. Non-Hunan
nh_1849,0.004838791990694061,0.02324226902679297,182706,1849,-0.04093331334631697,0.050610897327705094,B. Non-Hunan
nh_1850,-0.03118037389305131,0.026553391587401772,182706,1850,-0.08347323030015921,0.021112482514056598,B. Non-Hunan
nh_1851,-0.0065198495279815685,0.015303792981105575,182706,1851,-0.03665833659133476,0.02361863753537162,B. Non-Hunan
nh_1852,0.025278260439386968,0.018494232349029707,182706,1852,-0.01114331054540383,0.061699831424177766,B. Non-Hunan
nh_1853,-0.011586242192238999,0.021703903671719683,182706,1853,-0.05432877150127912,0.031156287116801122,B. Non-Hunan
nh_1854,-0.027900037684606794,0.03440944492488982,182706,1854,-0.09566419340772202,0.039864118038508436,B. Non-Hunan
nh_1855,-0.015053050642650242,0.011477495711025779,182706,1855,-0.03765622858902708,0.0075501273037265944,B. Non-Hunan
nh_1856,-0.029103690590824488,0.027878337181899335,182706,1856,-0.0840058253453795,0.02579844416373052,B. Non-Hunan
nh_1857,-0.035445204356172905,0.02562096060824517,182706,1857,-0.08590178010805524,0.01501137139570944,B. Non-Hunan
nh_1858,-0.011053994434871317,0.01360249996165622,182706,1858,-0.037842044275181036,0.015734055405438405,B. Non-Hunan
nh_1859,-0.02731642037663264,0.02178419732061489,182706,1859,-0.0702170757856197,0.015584235032354423,B. Non-Hunan
nh_1860,-0.008164919543985046,0.013872412769105641,182706,1860,-0.035484521507718754,0.01915468241974866,B. Non-Hunan
nh_1861,-0.019807090469502537,0.015632608006208325,182706,1861,-0.050593128593728706,0.010978947654723632,B. Non-Hunan
