py,gap,gap_se,provid,year,n_princeling,g_xi,g_insp,treat_xi
42012,-1.0112043347066388,0.15266624584383304,4,2012,35,2013,2013,0.0
42013,-0.4340104956583635,0.09528745104193313,4,2013,37,2013,2013,1.0
42014,-0.23574408703404992,0.10895479756286724,4,2014,29,2013,2013,1.0
42015,-0.38956605814346684,0.16154765179772954,4,2015,12,2013,2013,1.0
42016,0.9650307647594841,0.29061638671199613,4,2016,3,2013,2013,1.0
52007,-0.9679988327296634,0.034107529622225866,5,2007,169,2013,2013,0.0
52008,-0.8969436608504788,0.03869618205281579,5,2008,159,2013,2013,0.0
52009,-0.6820762954952224,0.039199924884153525,5,2009,200,2013,2013,0.0
52010,-0.9781339576187562,0.04736098852384138,5,2010,229,2013,2013,0.0
52011,-0.596368581625809,0.0630882986621698,5,2011,150,2013,2013,0.0
52012,-0.6213318081270576,0.09051875481232359,5,2012,55,2013,2013,0.0
52013,0.09967057280581282,0.09940845917919544,5,2013,62,2013,2013,1.0
52014,-0.3038420398297569,0.12410165596225581,5,2014,18,2013,2013,1.0
52015,-0.28948349663938566,0.29958629380813645,5,2015,12,2013,2013,1.0
52016,-0.37547545242325975,0.3029383331406801,5,2016,10,2013,2013,1.0
62006,-1.2088865749793798,0.0,6,2006,3,2016,2014,0.0
62007,-0.9393728422723749,0.10093532889726366,6,2007,28,2016,2014,0.0
62008,-1.1169835980653327,0.07069396225745656,6,2008,61,2016,2014,0.0
62009,-0.9963041164162552,0.15081370350522957,6,2009,50,2016,2014,0.0
62010,-0.9637818025601129,0.09021918552939374,6,2010,90,2016,2014,0.0
62011,-0.6284986499445038,0.0634069680736609,6,2011,111,2016,2014,0.0
62012,-0.7016609759100529,0.07866224405091359,6,2012,55,2016,2014,0.0
62013,-0.5729616046915197,0.11135466638235443,6,2013,38,2016,2014,0.0
62014,-0.4186588645952632,0.24096321637408047,6,2014,15,2016,2014,0.0
62015,-0.5831188179051695,0.21648544113018886,6,2015,14,2016,2014,0.0
72007,-0.8155322687137433,0.0725441533694258,7,2007,34,2013,2013,0.0
72008,-0.6280318747285224,0.06464625470762594,7,2008,43,2013,2013,0.0
72009,-0.4854121718875617,0.06563943718306225,7,2009,59,2013,2013,0.0
72010,-0.6504552805345217,0.08787363242146597,7,2010,51,2013,2013,0.0
72011,-0.6429858011224318,0.0827990107676286,7,2011,102,2013,2013,0.0
72012,-0.4840469504086777,0.14719631661807084,7,2012,19,2013,2013,0.0
72013,-0.4353763339144204,0.16191730118043696,7,2013,31,2013,2013,1.0
72014,-0.39781144949377156,0.10473430060222072,7,2014,30,2013,2013,1.0
72015,-0.6822858317253002,0.03862341220158444,7,2015,63,2013,2013,1.0
72016,-0.819519667013821,0.17495915993733446,7,2016,14,2013,2013,1.0
82007,-0.8463145072666812,0.018265649456236332,8,2007,218,2014,2014,0.0
82008,-0.8937039877007875,0.021598011707780366,8,2008,196,2014,2014,0.0
82009,-0.868381558923016,0.03143609856202467,8,2009,102,2014,2014,0.0
82010,-0.8337694304734814,0.02477742662835951,8,2010,174,2014,2014,0.0
82011,-0.7354664479177571,0.03699544233081353,8,2011,228,2014,2014,0.0
82012,-0.4392703923970014,0.113789680364276,8,2012,44,2014,2014,0.0
82013,-0.27305157614817166,0.09287548112529917,8,2013,54,2014,2014,0.0
