table,panel,outcome,unrest,column,event_time,term,coef,se
VII,A,ALL,event_hat_lasso,4,3,public security,3.543035299910321,1.1929421853569955
VII,A,ALL,event_hat_lasso,4,4,base,-0.14893330315251313,1.260005540888489
VII,A,ALL,event_hat_lasso,4,4,public security,4.111184148910732,1.61666647033199
VII,A,ALL,event_hat_lasso,4,5,base,-0.024130678289814005,1.3626821502166766
VII,A,ALL,event_hat_lasso,4,5,public security,5.183545819560209,1.6847239329654455
VII,A,ALL,event_hat_lasso,4,6,base,0.6414194916778733,1.5320536944174128
VII,A,ALL,event_hat_lasso,4,6,public security,5.554780119513707,1.826623944942391
VII,A,ALL,event_hat_lasso,4,7,base,0.8092094553029339,1.7590889819710036
VII,A,ALL,event_hat_lasso,4,7,public security,6.887016253325627,2.309937301015701
VII,A,ALL,event_hat_lasso,4,8,base,1.8096216548720898,1.0173719666913914
VII,A,ALL,event_hat_lasso,4,8,public security,7.445262431308337,1.8242587769696557
VII,A,ALL,event_hat_lasso,5,-8,base,0.5760877227899469,1.5238679623629445
VII,A,ALL,event_hat_lasso,5,-8,public security,0.43375355081476663,1.472161234063441
VII,A,ALL,event_hat_lasso,5,-7,base,0.2754880436058255,1.0641601020110292
VII,A,ALL,event_hat_lasso,5,-7,public security,0.4138038687224797,0.94766568977484
VII,A,ALL,event_hat_lasso,5,-6,base,0.7315424666749168,0.9577109895875646
VII,A,ALL,event_hat_lasso,5,-6,public security,-0.12202494364886722,0.9531138718649829
VII,A,ALL,event_hat_lasso,5,-5,base,-0.5151865944457656,0.5066054865040501
VII,A,ALL,event_hat_lasso,5,-5,public security,0.7509048925938967,1.0316969990395657
VII,A,ALL,event_hat_lasso,5,-4,base,-0.5932627520650113,0.4949801169550692
VII,A,ALL,event_hat_lasso,5,-4,public security,0.43821995122797996,0.9378772376066642
VII,A,ALL,event_hat_lasso,5,-3,base,-0.5593563306247541,0.38475176980381975
VII,A,ALL,event_hat_lasso,5,-3,public security,0.4606800674167208,0.8080256681528342
VII,A,ALL,event_hat_lasso,5,-2,base,-0.09621691863458505,0.2773879588896142
VII,A,ALL,event_hat_lasso,5,-2,public security,-0.6123387838138403,0.759393864121503
VII,A,ALL,event_hat_lasso,5,0,base,0.035334559167046455,0.36867878743675914
VII,A,ALL,event_hat_lasso,5,0,public security,0.603929669848292,0.4425742041089902
VII,A,ALL,event_hat_lasso,5,1,base,0.19289158828507377,0.4801478471520167
VII,A,ALL,event_hat_lasso,5,1,public security,1.3983098723745657,0.6911957490422811
VII,A,ALL,event_hat_lasso,5,2,base,0.40589085678833287,0.6038667448631297
VII,A,ALL,event_hat_lasso,5,2,public security,2.3171647775831827,0.8386354147539881
VII,A,ALL,event_hat_lasso,5,3,base,1.1009356142956876,0.5903287525014336
VII,A,ALL,event_hat_lasso,5,3,public security,2.048133911122012,0.9883033781336474
VII,A,ALL,event_hat_lasso,5,4,base,1.627314632160004,0.7286324731731563
VII,A,ALL,event_hat_lasso,5,4,public security,2.0510369189110813,1.2173264767361
VII,A,ALL,event_hat_lasso,5,5,base,2.058744943090393,0.9365457761990379
VII,A,ALL,event_hat_lasso,5,5,public security,2.5343068540383067,1.4379017464266586
VII,A,ALL,event_hat_lasso,5,6,base,3.3289238573379167,1.1892812279303981
VII,A,ALL,event_hat_lasso,5,6,public security,2.4709025107255287,1.5599670169858701
VII,A,ALL,event_hat_lasso,5,7,base,3.596102374173946,1.210685088607201
VII,A,ALL,event_hat_lasso,5,7,public security,3.4212054431491756,1.5405182576622682
VII,A,ALL,event_hat_lasso,5,8,base,3.9636481822401928,1.313020482707627
VII,A,ALL,event_hat_lasso,5,8,public security,4.054393291677894,1.689047264558374
VII,A,ALL,event_hat_lasso,6,-8,base,-1.057650894014001,0.9254579258602943
VII,A,ALL,event_hat_lasso,6,-8,public security,-0.05736128050125776,1.3095277155288856
VII,A,ALL,event_hat_lasso,6,-7,base,-1.1774172537257177,0.6350353853578412
VII,A,ALL,event_hat_lasso,6,-7,public security,0.12929776671911838,0.9351243680467047
VII,A,ALL,event_hat_lasso,6,-6,base,-0.5963572975195072,0.5234708815414816
VII,A,ALL,event_hat_lasso,6,-6,public security,-0.26625294717069076,0.991409939895668
