table,panel,outcome,unrest,column,term,coef,se,N,clusters,omitted,estimator
VII,A,ALL,event_hat_lasso,6,8 quarters before contract,-1.057650894014001,0.9254579258602943,14792,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,6,8 quarters before contract x public security,-0.05736128050125776,1.3095277155288856,14792,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,6,8 quarters after contract,5.474002280643103,1.2898964460839752,14792,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,6,8 quarters after contract x public security,6.313583717040954,1.5420046106865621,14792,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,1,8 quarters before contract,1.628254660389106,1.005398473236705,7493,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,1,8 quarters before contract x public security,-0.11794229712862203,0.45233420803789864,7493,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,1,8 quarters after contract,1.2581732014152225,0.8011568178174954,7493,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,1,8 quarters after contract x public security,2.229749845912465,1.3295372017107883,7493,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,2,8 quarters before contract,0.859910553493452,0.6353722227401001,4345,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,2,8 quarters before contract x public security,0.23060439267655333,0.5957043451291796,4345,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
