row,column,stat,paper,Stata re-run,StatsPAI,abs diff Stata,abs diff StatsPAI,Stata,SP,MC
medical expenditure past month (usd),(5) large,(SE/SD),1.74,1.74,1.7418190400402234,0.0,0.0,✅,✅,False
education expenditure (usd),(1) control mean,coef/value,4.71,4.71,4.708046378420868,0.0,0.0,✅,✅,False
education expenditure (usd),(2) treatment,coef/value,1.08,1.08,1.0750863808759572,0.0,0.0,✅,✅,False
education expenditure (usd),(3) female rec.,coef/value,0.48,0.48,0.4840137313983598,0.0,0.0,✅,✅,False
education expenditure (usd),(4) monthly,coef/value,-0.02,-0.02,-0.0166705886359913,0.0,0.0,✅,✅,False
education expenditure (usd),(5) large,coef/value,1.15,1.15,1.1523152327285202,0.0,0.0,✅,✅,False
education expenditure (usd),(6) N,coef/value,940.0,940.0,940.0,0.0,0.0,✅,✅,False
education expenditure (usd),(1) control mean,(SE/SD),8.68,8.68,8.677822542222705,0.0,0.0,✅,✅,False
education expenditure (usd),(2) treatment,(SE/SD),0.51,0.51,0.5098958382896799,0.0,0.0,✅,✅,False
education expenditure (usd),(3) female rec.,(SE/SD),0.88,0.88,0.8803026974210263,0.0,0.0,✅,✅,False
education expenditure (usd),(4) monthly,(SE/SD),0.87,0.87,0.8669705923090599,0.0,0.0,✅,✅,False
education expenditure (usd),(5) large,(SE/SD),0.91,0.91,0.9145583693555503,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(1) control mean,coef/value,157.61,157.61,157.61200665309232,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(2) treatment,coef/value,35.66,35.66,35.65738279102732,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(3) female rec.,coef/value,-2.0,-2.0,-2.000172116261043,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(4) monthly,coef/value,-4.2,-4.2,-4.203707563711118,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(5) large,coef/value,21.25,21.25,21.248336203671233,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(6) N,coef/value,940.0,940.0,940.0,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(1) control mean,(SE/SD),82.18,82.18,82.1802797444825,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(2) treatment,(SE/SD),5.85,5.85,5.852704564060148,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(3) female rec.,(SE/SD),10.28,10.28,10.276175546833654,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(4) monthly,(SE/SD),10.71,10.71,10.70547234093264,0.0,0.0,✅,✅,False
non-durable expenditure (usd),(5) large,(SE/SD),10.49,10.49,10.48565934797418,0.0,0.0,✅,✅,False
joint test (p-value),(2) treatment,coef/value,0.0,0.0,1.5140114445512214e-10,0.0,0.0,✅,✅,False
joint test (p-value),(3) female rec.,coef/value,0.47,0.47,0.4715021826935064,0.0,0.0,✅,✅,False
joint test (p-value),(4) monthly,coef/value,0.13,0.13,0.1336874310171301,0.0,0.0,✅,✅,False
joint test (p-value),(5) large,coef/value,0.01,0.01,0.0070953556296373,0.0,0.0,✅,✅,False
