row,column,stat,paper,Stata re-run,StatsPAI,abs diff Stata,abs diff StatsPAI,Stata,SP,MC
female empowerment index,q=.5,coef/value,0.02,0.02,0.0202194540684999,0.0,0.0,✅,✅,False
female empowerment index,q=.6,coef/value,-0.05,-0.05,-0.0531342625617981,0.0,0.0,✅,✅,False
female empowerment index,q=.7,coef/value,-0.02,-0.02,-0.0175828522385155,0.0,0.0,✅,✅,False
female empowerment index,q=.8,coef/value,-0.02,-0.02,-0.016153382620626,0.0,0.0,✅,✅,False
female empowerment index,q=.9,coef/value,0.0,0.0,-0.0,0.0,0.0,✅,✅,False
female empowerment index,q=.1,(SE/SD),0.16,0.16,,0.0,,✅,–,True
female empowerment index,q=.2,(SE/SD),0.16,0.16,,0.0,,✅,–,True
female empowerment index,q=.3,(SE/SD),0.1,0.1,,0.0,,✅,–,True
female empowerment index,q=.4,(SE/SD),0.11,0.11,,0.0,,✅,–,True
female empowerment index,q=.5,(SE/SD),0.09,0.09,,0.0,,✅,–,True
female empowerment index,q=.6,(SE/SD),0.06,0.06,,0.0,,✅,–,True
female empowerment index,q=.7,(SE/SD),0.06,0.06,,0.0,,✅,–,True
female empowerment index,q=.8,(SE/SD),0.05,0.05,,0.0,,✅,–,True
female empowerment index,q=.9,(SE/SD),0.03,0.03,,0.0,,✅,–,True
