outcome,label,q,b,se
psy_index_z1,Psychological well-being index,0.2,0.27645223562536636,0.07871957800959274
psy_index_z1,Psychological well-being index,0.3,0.31215838393928386,0.07100963633227317
psy_index_z1,Psychological well-being index,0.4,0.265089362878661,0.06697417601575707
psy_index_z1,Psychological well-being index,0.5,0.221470697828175,0.06121511215937979
psy_index_z1,Psychological well-being index,0.6,0.23993615806102753,0.05921020533385201
psy_index_z1,Psychological well-being index,0.7,0.2303577614544041,0.06169142458976546
psy_index_z1,Psychological well-being index,0.8,0.19388224230332143,0.06612765884412454
psy_index_z1,Psychological well-being index,0.9,0.152140684467119,0.09024367590031246
ih_overall_index_z1,Female empowerment index,0.1,0.04245739009518153,0.14702253840842963
ih_overall_index_z1,Female empowerment index,0.2,0.027211267529582583,0.11797685509747437
ih_overall_index_z1,Female empowerment index,0.3,0.06731588151822836,0.10295980899697448
ih_overall_index_z1,Female empowerment index,0.4,0.07898791150819762,0.09296532750210147
ih_overall_index_z1,Female empowerment index,0.5,0.02021945406849998,0.08120715292215493
ih_overall_index_z1,Female empowerment index,0.6,-0.05313426256179811,0.0738889384696016
ih_overall_index_z1,Female empowerment index,0.7,-0.017582852238515575,0.07105088195727083
ih_overall_index_z1,Female empowerment index,0.8,-0.016153382620626044,0.06844587996278101
ih_overall_index_z1,Female empowerment index,0.9,-0.0,0.06630320611026869
