exhibit,row,col,file,y,cond,kernel,bwselect,masspts,version,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r,bw_source
T1,resid2_tfpop_s,4,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==0,tri,mserd,off,statspai_native,11002,5.084699560900426,5.084699560900426,8.856701357557155,8.856701357557155,0.05774072929172448,0.06364835549609925,0.05164105708464056,0.07413179794601976,1896,1012,
T1,resid2_tfpop_s,4,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==0,tri,mserd,off,statspai_matched,11002,5.692103416144121,5.692103416144121,8.916452325504123,8.916452325504123,0.02184910450473182,0.061451366631916714,0.012351378828171666,0.07579944272475521,2243,1228,rdrobust_py_masspoints_off
T1,resid2_tfpop_s,5,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==0,epa,mserd,off,statspai_native,11002,5.136462300367868,5.136462300367868,9.54350989868205,9.54350989868205,0.043595498697333354,0.06500045777132107,0.02545738263546926,0.07544563198503705,1902,1091,
T1,resid2_tfpop_s,5,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==0,epa,mserd,off,statspai_matched,11002,5.204112636360795,5.204112636360795,8.850493940407924,8.850493940407924,0.038820063738728636,0.06497760446702976,0.023345632416631935,0.07764962155324737,2048,1091,rdrobust_py_masspoints_off
T1,resid2_tfpop_s,6,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==0,uni,mserd,off,statspai_native,11002,3.8415756304431827,3.8415756304431827,8.259187772389703,8.259187772389703,0.06506018156398999,0.07228680724103707,0.040077248776146504,0.07972866666397181,1528,807,
T1,resid2_tfpop_s,6,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==0,uni,mserd,off,statspai_matched,11002,4.4303895678880885,4.4303895678880885,8.217393076002036,8.217393076002036,0.03494360630977057,0.06935076546954651,0.004925251454089952,0.08027421451658165,1653,912,rdrobust_py_masspoints_off
T3,resid1_lrze,1,T3_Channels/channels_QJE_final.dta,resid1_lrze,neg_ind0==1,tri,mserd,off,statspai_native,5520,4.7276748241039215,4.7276748241039215,8.519445217328647,8.519445217328647,331.60558079340086,531.8253982895445,249.670363595014,594.3830720527684,758,330,
T3,resid1_lrze,1,T3_Channels/channels_QJE_final.dta,resid1_lrze,neg_ind0==1,tri,mserd,off,statspai_matched,5520,5.81964986119979,5.81964986119979,9.231232246788384,9.231232246788384,478.5929556962391,470.4947379887125,378.1912063942451,551.9261024961063,958,715,rdrobust_py_masspoints_off
T3,resid1_lrze,2,T3_Channels/channels_QJE_final.dta,resid1_lrze,neg_ind0==1,epa,mserd,off,statspai_native,5520,4.929803735554929,4.929803735554929,8.405746166263402,8.405746166263402,338.5370183787585,550.1042719971831,226.4547585100936,627.6915837843812,786,392,
T3,resid1_lrze,2,T3_Channels/channels_QJE_final.dta,resid1_lrze,neg_ind0==1,epa,mserd,off,statspai_matched,5520,5.257214537124806,5.257214537124806,8.73389494969761,8.73389494969761,441.1796479323323,524.3446050461976,343.92993811909287,607.9111663303302,879,412,rdrobust_py_masspoints_off
