exhibit,row,col,file,y,cond,kernel,bwselect,masspts,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r
T3,resid1_lnm,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnm,neg_ind0==1,tri,mserd,off,2274,7.2762141,7.2762141,10.59011,10.59011,.01522282,.16265975,-.027074959,.19363254,604,444
T3,resid1_lnm,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnm,neg_ind0==1,epa,mserd,off,2274,6.8766718,6.8766718,10.764069,10.764069,.023934012,.16201113,-.01329737,.19295564,546,380
T3,resid1_lnm,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnm,neg_ind0==1,uni,mserd,off,2274,4.7430191,4.7430191,8.3932152,8.3932152,-.00080770405,.20085362,.045438979,.22850905,327,166
T3,resid1_lnv_l,1,T3_Channels/channels_QJE_final.dta,resid1_lnv_l,neg_ind0==1,tri,mserd,off,5540,7.7905841,7.7905841,10.406007,10.406007,.079951316,.0762183,.080259271,.096429773,1447,1181
T3,resid1_lnv_l,2,T3_Channels/channels_QJE_final.dta,resid1_lnv_l,neg_ind0==1,epa,mserd,off,5540,7.3391199,7.3391199,10.157192,10.157192,.081309244,.077106275,.082589433,.099288158,1359,1158
T3,resid1_lnv_l,3,T3_Channels/channels_QJE_final.dta,resid1_lnv_l,neg_ind0==1,uni,mserd,off,5540,6.009409,6.009409,9.3265696,9.3265696,.054704078,.077436492,.028736385,.097963214,1024,731
T3,resid1_lnv_l,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv_l,neg_ind0==1,tri,mserd,off,2276,6.0267553,6.0267553,8.1249466,8.1249466,.0035488119,.055655401,.0020285107,.071902595,469,299
T3,resid1_lnv_l,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv_l,neg_ind0==1,epa,mserd,off,2276,5.1615152,5.1615152,7.6094818,7.6094818,.017115358,.062524363,.018777173,.075961784,379,207
T3,resid1_lnv_l,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv_l,neg_ind0==1,uni,mserd,off,2276,5.7600279,5.7600279,9.105052,9.105052,.0060425196,.04612742,.0099132471,.059629694,442,255
T3,resid1_lnv_k,1,T3_Channels/channels_QJE_final.dta,resid1_lnv_k,neg_ind0==1,tri,mserd,off,5532,4.9246798,4.9246798,7.2804523,7.2804523,.24968989,.1020915,.2394087,.12157227,790,393
T3,resid1_lnv_k,2,T3_Channels/channels_QJE_final.dta,resid1_lnv_k,neg_ind0==1,epa,mserd,off,5532,5.1933765,5.1933765,7.943532,7.943532,.26575264,.096452884,.27102458,.12254608,847,413
T3,resid1_lnv_k,3,T3_Channels/channels_QJE_final.dta,resid1_lnv_k,neg_ind0==1,uni,mserd,off,5532,4.2161064,4.2161064,6.7919312,6.7919312,.28367537,.10381773,.28470755,.12313367,667,325
T3,resid1_lnv_k,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv_k,neg_ind0==1,tri,mserd,off,2274,6.7098112,6.7098112,10.602711,10.602711,.07272701,.080763929,.043224424,.097497612,538,374
T3,resid1_lnv_k,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv_k,neg_ind0==1,epa,mserd,off,2274,5.8930435,5.8930435,9.9048977,9.9048977,.066527911,.0870497,.04226831,.10471538,444,295
T3,resid1_lnv_k,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv_k,neg_ind0==1,uni,mserd,off,2274,4.8044629,4.8044629,9.005373,9.005373,.0083905216,.09590707,-.0046664509,.11294851,338,170
T4,resid1_hours,1,T4_Abatement/abatement_QJE_final.dta,resid1_hours,1,tri,mserd,off,7302,5.2223635,5.2223635,8.9988947,8.9988947,288.29617,101.38296,331.8298,115.02605,1223,965
T4,resid1_hours,2,T4_Abatement/abatement_QJE_final.dta,resid1_hours,1,epa,mserd,off,7302,5.6355433,5.6355433,9.2752037,9.2752037,255.9256,104.91494,306.28143,120.52776,1350,1093
T4,resid1_hours,3,T4_Abatement/abatement_QJE_final.dta,resid1_hours,1,uni,mserd,off,7302,7.0368433,7.0368433,10.982544,10.982544,171.45119,91.54509,208.57861,117.87106,1763,1475
T4,resid1_log_water,1,T4_Abatement/abatement_QJE_final.dta,resid1_log_water,1,tri,mserd,off,6606,3.1643751,3.1643751,6.189343,6.189343,.6249699,.22757179,.69505554,.26252449,636,346
T4,resid1_log_water,2,T4_Abatement/abatement_QJE_final.dta,resid1_log_water,1,epa,mserd,off,6606,3.2646482,3.2646482,7.1426454,7.1426454,.6047352,.25092861,.7110393,.28659883,636,364
T4,resid1_log_water,3,T4_Abatement/abatement_QJE_final.dta,resid1_log_water,1,uni,mserd,off,6606,2.496973,2.496973,5.7570539,5.7570539,.40057975,.27864096,.51865369,.35684988,580,219
T4,resid1_machine,1,T4_Abatement/abatement_QJE_final.dta,resid1_machine,1,tri,mserd,off,7265,4.3838573,4.3838573,7.3776574,7.3776574,-1.1454087,.62445968,-1.3871332,.73761225,1002,690
T4,resid1_machine,2,T4_Abatement/abatement_QJE_final.dta,resid1_machine,1,epa,mserd,off,7265,4.549356,4.549356,7.7057638,7.7057638,-1.0662699,.61609697,-1.3369178,.73981899,1031,773
T4,resid1_machine,3,T4_Abatement/abatement_QJE_final.dta,resid1_machine,1,uni,mserd,off,7265,3.4157941,3.4157941,6.804553,6.804553,-1.2895976,.69090682,-1.6292751,.79107785,776,441
T4,resid1_total_capacity,1,T4_Abatement/abatement_QJE_final.dta,resid1_total_capacity,1,tri,mserd,off,4624,4.1514263,4.1514263,6.4071913,6.4071913,-7381.0688,3733.27,-7145.2861,4474.3906,603,406
T4,resid1_total_capacity,2,T4_Abatement/abatement_QJE_final.dta,resid1_total_capacity,1,epa,mserd,off,4624,4.1809816,4.1809816,6.8003016,6.8003016,-8593.9424,3854.6978,-9016.3711,4687.5933,608,407
T4,resid1_total_capacity,3,T4_Abatement/abatement_QJE_final.dta,resid1_total_capacity,1,uni,mserd,off,4624,4.3322549,4.3322549,8.0822468,8.0822468,-7849.3984,3714.324,-9204.5557,4328.9736,651,450
T5,resid_log_cod,1,T5_Emissions/water_emission_QJE_final.dta,resid_log_cod,1,tri,mserd,off,9797,3.3288257,3.3288257,6.5253348,6.5253348,.83713031,.42572832,1.0016006,.47310093,994,562
T5,resid_log_cod,2,T5_Emissions/water_emission_QJE_final.dta,resid_log_cod,1,epa,mserd,off,9797,3.4181919,3.4181919,6.9351072,6.9351072,.75043517,.39215124,.92344797,.43958947,1003,584
T5,resid_log_cod,3,T5_Emissions/water_emission_QJE_final.dta,resid_log_cod,1,uni,mserd,off,9797,5.0290952,5.0290952,8.3264723,8.3264723,.23658262,.32020885,.31443512,.34651762,1491,1173
T5,resid_log_cod_intensity,1,T5_Emissions/water_emission_QJE_final.dta,resid_log_cod_intensity,1,tri,mserd,off,9797,4.9589782,4.9589782,8.3713427,8.3713427,.76927733,.28534704,.89623755,.34571216,1476,1131
T5,resid_log_cod_intensity,2,T5_Emissions/water_emission_QJE_final.dta,resid_log_cod_intensity,1,epa,mserd,off,9797,4.9590921,4.9590921,8.3435011,8.3435011,.70480686,.26687518,.81886703,.32954863,1476,1131
T5,resid_log_cod_intensity,3,T5_Emissions/water_emission_QJE_final.dta,resid_log_cod_intensity,1,uni,mserd,off,9797,4.3936882,4.3936882,7.3364134,7.3364134,.72916323,.25765038,.77420062,.34077662,1291,907
T5,resid_log_nh,1,T5_Emissions/water_emission_QJE_final.dta,resid_log_nh,1,tri,mserd,off,4772,4.5752792,4.5752792,6.8655739,6.8655739,.87493402,.90248734,1.0197083,1.1905477,781,519
T5,resid_log_nh,2,T5_Emissions/water_emission_QJE_final.dta,resid_log_nh,1,epa,mserd,off,4772,4.8791656,4.8791656,7.2976069,7.2976069,.75981069,.76471275,.95592755,1.0540546,823,565
T5,resid_log_nh,3,T5_Emissions/water_emission_QJE_final.dta,resid_log_nh,1,uni,mserd,off,4772,4.4772153,4.4772153,6.9641333,6.9641333,.62641168,.6885612,.88873369,.94946814,765,513
T5,resid_log_nh_intensity,1,T5_Emissions/water_emission_QJE_final.dta,resid_log_nh_intensity,1,tri,mserd,off,4752,3.2013354,3.2013354,5.7478261,5.7478261,1.2303109,.4479439,1.3530711,.54945308,529,225
T5,resid_log_nh_intensity,2,T5_Emissions/water_emission_QJE_final.dta,resid_log_nh_intensity,1,epa,mserd,off,4752,3.5001485,3.5001485,6.1413565,6.1413565,1.0059758,.43728814,1.1351713,.53647059,588,268
T5,resid_log_nh_intensity,3,T5_Emissions/water_emission_QJE_final.dta,resid_log_nh_intensity,1,uni,mserd,off,4752,2.9983222,2.9983222,5.7062578,5.7062578,.84914553,.43005362,.9619661,.57580745,522,215
T5,resid_log_waste_water,1,T5_Emissions/water_emission_QJE_final.dta,resid_log_waste_water,1,tri,mserd,off,9797,3.6273789,3.6273789,6.6058416,6.6058416,.34159955,.31057978,.44344288,.36743462,1087,677
T5,resid_log_waste_water,2,T5_Emissions/water_emission_QJE_final.dta,resid_log_waste_water,1,epa,mserd,off,9797,3.599319,3.599319,6.9356785,6.9356785,.33041644,.32943296,.45189545,.38674411,1087,677
T5,resid_log_waste_water,3,T5_Emissions/water_emission_QJE_final.dta,resid_log_waste_water,1,uni,mserd,off,9797,5.2862072,5.2862072,8.554883,8.554883,.057078611,.28126165,.03933524,.30331373,1618,1306
T5,resid_log_waste_water_intensity,1,T5_Emissions/water_emission_QJE_final.dta,resid_log_waste_water_intensity,1,tri,mserd,off,9797,4.5384588,4.5384588,7.7897396,7.7897396,.44289595,.21445091,.52050716,.25400203,1334,1007
T5,resid_log_waste_water_intensity,2,T5_Emissions/water_emission_QJE_final.dta,resid_log_waste_water_intensity,1,epa,mserd,off,9797,4.8250599,4.8250599,8.17276,8.17276,.40220392,.20173925,.46739161,.2453943,1373,1095
T5,resid_log_waste_water_intensity,3,T5_Emissions/water_emission_QJE_final.dta,resid_log_waste_water_intensity,1,uni,mserd,off,9797,4.9958725,4.9958725,8.7558088,8.7558088,.24169274,.18588571,.29266563,.22135417,1486,1139
